Date,PX_LAST,Change,% Change,PX_OPEN,Change,% Change,PX_HIGH,Change,% Change,PX_LOW,Change,% Change
2011/2/28,1327.22,,,1321.61,,,1329.38,,,1320.55,,
2011/2/25,1319.88,,,1307.34,,,1320.61,,,1307.34,,
2011/2/24,1306.1,,,1307.09,,,1310.91,,,1294.26,,
2011/2/23,1307.4,,,1315.44,,,1317.91,,,1299.55,,
2011/2/22,1315.44,,,1338.91,,,1338.91,,,1312.33,,
2011/2/18,1343.01,,,1340.38,,,1344.07,,,1338.12,,
2011/2/17,1340.43,,,1334.37,,,1341.5,,,1331,,
2011/2/16,1336.32,,,1329.51,,,1337.61,,,1329.51,,
2011/2/15,1328.01,,,1330.43,,,1330.43,,,1324.61,,
2011/2/14,1332.32,,,1328.73,,,1332.96,,,1326.9,,
2011/2/11,1329.15,,,1318.66,,,1330.79,,,1316.08,,
2011/2/10,1321.87,,,1318.13,,,1322.78,,,1311.74,,
2011/2/9,1320.88,,,1322.48,,,1324.54,,,1314.89,,
2011/2/8,1324.57,,,1318.76,,,1324.87,,,1316.03,,
2011/2/7,1319.05,,,1311.85,,,1322.85,,,1311.85,,
2011/2/4,1310.87,,,1307.01,,,1311,,,1301.67,,
2011/2/3,1307.1,,,1302.77,,,1308.6,,,1294.83,,
2011/2/2,1304.03,,,1305.91,,,1307.61,,,1302.62,,
2011/2/1,1307.59,,,1289.14,,,1308.86,,,1289.14,,
2011/1/31,1286.12,,,1276.5,,,1287.17,,,1276.5,,
2011/1/28,1276.34,,,1299.63,,,1302.67,,,1275.1,,
2011/1/27,1299.54,,,1297.51,,,1301.29,,,1294.41,,
2011/1/26,1296.63,,,1291.97,,,1299.74,,,1291.97,,
2011/1/25,1291.18,,,1288.17,,,1291.26,,,1281.07,,
2011/1/24,1290.84,,,1283.29,,,1291.93,,,1282.47,,
2011/1/21,1283.35,,,1283.63,,,1291.21,,,1282.07,,
2011/1/20,1280.26,,,1280.85,,,1283.35,,,1271.26,,
2011/1/19,1281.92,,,1294.52,,,1294.6,,,1278.92,,
2011/1/18,1295.02,,,1293.22,,,1296.06,,,1290.16,,
2011/1/14,1293.24,,,1282.9,,,1293.24,,,1281.24,,
2011/1/13,1283.76,,,1285.78,,,1286.7,,,1280.47,,
2011/1/12,1285.95,,,1275.65,,,1286.87,,,1275.65,,
2011/1/11,1274.48,,,1272.58,,,1277.25,,,1269.62,,
2011/1/10,1269.75,,,1270.84,,,1271.52,,,1262.18,,
2011/1/7,1271.5,,,1274.41,,,1276.83,,,1261.7,,
2011/1/6,1273.85,,,1276.29,,,1278.17,,,1270.43,,
2011/1/5,1276.56,,,1268.78,,,1277.63,,,1265.36,,
2011/1/4,1270.2,,,1272.95,,,1274.12,,,1262.66,,
2011/1/3,1271.87,,,1257.62,,,1276.17,,,1257.62,,
2010/12/31,1257.64,,,1256.76,,,1259.34,,,1254.19,,
2010/12/30,1257.88,,,1259.44,,,1261.09,,,1256.32,,
2010/12/29,1259.78,,,1258.78,,,1262.6,,,1258.78,,
2010/12/28,1258.51,,,1259.1,,,1259.9,,,1256.22,,
2010/12/27,1257.54,,,1254.66,,,1258.43,,,1251.48,,
2010/12/23,1256.77,,,1257.53,,,1258.59,,,1254.05,,
2010/12/22,1258.84,,,1254.94,,,1259.39,,,1254.94,,
2010/12/21,1254.6,,,1249.43,,,1255.82,,,1249.43,,
2010/12/20,1247.08,,,1245.76,,,1250.2,,,1241.51,,
2010/12/17,1243.91,,,1243.63,,,1245.81,,,1239.87,,
2010/12/16,1242.87,,,1236.34,,,1243.75,,,1232.85,,
2010/12/15,1235.23,,,1241.58,,,1244.25,,,1234.01,,
2010/12/14,1241.59,,,1241.84,,,1246.59,,,1238.17,,
2010/12/13,1240.46,,,1242.52,,,1246.73,,,1240.34,,
2010/12/10,1240.4,,,1233.85,,,1240.4,,,1232.58,,
2010/12/9,1233,,,1230.14,,,1234.71,,,1226.85,,
2010/12/8,1228.28,,,1225.02,,,1228.93,,,1219.5,,
2010/12/7,1223.75,,,1227.25,,,1235.05,,,1223.25,,
2010/12/6,1223.12,,,1223.87,,,1225.8,,,1220.67,,
2010/12/3,1224.71,,,1219.93,,,1225.57,,,1216.82,,
2010/12/2,1221.53,,,1206.81,,,1221.89,,,1206.81,,
2010/12/1,1206.07,,,1186.6,,,1207.61,,,1186.6,,
2010/11/30,1180.55,,,1182.96,,,1187.4,,,1174.14,,
2010/11/29,1187.76,,,1189.08,,,1190.34,,,1173.64,,
2010/11/26,1189.4,,,1194.16,,,1194.16,,,1186.93,,
2010/11/24,1198.35,,,1183.7,,,1198.62,,,1183.7,,
2010/11/23,1180.73,,,1192.51,,,1192.51,,,1176.91,,
2010/11/22,1197.84,,,1198.07,,,1198.94,,,1184.58,,
2010/11/19,1199.73,,,1196.12,,,1199.97,,,1189.44,,
2010/11/18,1196.68,,,1183.75,,,1200.29,,,1183.75,,
2010/11/17,1178.59,,,1178.33,,,1183.56,,,1175.82,,
2010/11/16,1178.34,,,1194.79,,,1194.79,,,1173,,
2010/11/15,1197.75,,,1200.44,,,1207.43,,,1197.15,,
2010/11/12,1199.21,,,1209.07,,,1210.5,,,1194.08,,
2010/11/11,1213.54,,,1213.04,,,1215.45,,,1204.49,,
